% 10
% Score #components [components] mutationId parentScore
238.0 1 238.0  1 237.0
291.0 1 291.0  4 275.0
164.0 1 164.0  0 161.0
150.0 1 150.0  1 161.0
175.0 1 175.0  2 161.0
162.0 1 162.0  3 161.0
173.0 1 173.0  4 161.0
300.0 1 300.0  5 161.0
205.0 1 205.0  6 161.0
178.0 1 178.0  7 161.0
164.0 1 164.0  8 161.0
150.0 1 150.0  9 161.0
343.0 1 343.0  0 10000.0

159.0 1 159.0  9 161.0
174.0 1 174.0  1 161.0
166.0 1 166.0  6 237.0
153.0 1 153.0  3 161.0
164.0 1 164.0  8 161.0
137.0 1 137.0  0 161.0
152.0 1 152.0  9 237.0
172.0 1 172.0  4 161.0
142.0 1 142.0  2 161.0
163.0 1 163.0  7 161.0
161.0 1 161.0  0 150.0
170.0 1 170.0  1 150.0
160.0 1 160.0  2 150.0
159.0 1 159.0  3 150.0
279.0 1 279.0  4 150.0
296.0 1 296.0  5 150.0
292.0 1 292.0  6 150.0
205.0 1 205.0  7 150.0
59.0 1 59.0  8 150.0
263.0 1 263.0  9 150.0
348.0 1 348.0  0 10000.0

67.0 1 67.0  8 150.0
141.0 1 141.0  0 161.0
173.0 1 173.0  2 161.0
161.0 1 161.0  9 237.0
172.0 1 172.0  3 161.0
170.0 1 170.0  3 150.0
163.0 1 163.0  9 161.0
173.0 1 173.0  2 150.0
165.0 1 165.0  0 150.0
154.0 1 154.0  7 161.0
63.0 1 63.0  0 59.0
69.0 1 69.0  1 59.0
59.0 1 59.0  2 59.0
75.0 1 75.0  3 59.0
58.0 1 58.0  4 59.0
91.0 1 91.0  5 59.0
84.0 1 84.0  6 59.0
61.0 1 61.0  7 59.0
69.0 1 69.0  8 59.0
54.0 1 54.0  9 59.0
348.0 1 348.0  0 10000.0

62.0 1 62.0  9 59.0
72.0 1 72.0  4 59.0
67.0 1 67.0  2 59.0
76.0 1 76.0  7 59.0
74.0 1 74.0  0 59.0
66.0 1 66.0  8 150.0
64.0 1 64.0  8 59.0
56.0 1 56.0  1 59.0
71.0 1 71.0  3 59.0
73.0 1 73.0  6 59.0
64.0 1 64.0  0 54.0
73.0 1 73.0  1 54.0
71.0 1 71.0  2 54.0
69.0 1 69.0  3 54.0
