% 10
% Score #components [components] mutationId parentScore
70.0 1 70.0  1 71.0
65.0 1 65.0  2 50.0
61.0 1 61.0  0 50.0
58.0 1 58.0  1 50.0
76.0 1 76.0  2 50.0
73.0 1 73.0  3 50.0
69.0 1 69.0  4 50.0
67.0 1 67.0  5 50.0
61.0 1 61.0  6 50.0
57.0 1 57.0  7 50.0
65.0 1 65.0  8 50.0
65.0 1 65.0  9 50.0
338.0 1 338.0  0 10000.0

53.0 1 53.0  7 50.0
53.0 1 53.0  3 71.0
73.0 1 73.0  1 50.0
75.0 1 75.0  6 50.0
67.0 1 67.0  0 50.0
69.0 1 69.0  0 50.0
65.0 1 65.0  9 50.0
51.0 1 51.0  9 71.0
64.0 1 64.0  7 71.0
65.0 1 65.0  9 50.0
62.0 1 62.0  0 57.0
62.0 1 62.0  1 57.0
67.0 1 67.0  2 57.0
74.0 1 74.0  3 57.0
69.0 1 69.0  4 57.0
57.0 1 57.0  5 57.0
75.0 1 75.0  6 57.0
67.0 1 67.0  7 57.0
58.0 1 58.0  8 57.0
93.0 1 93.0  9 57.0
347.0 1 347.0  0 10000.0

59.0 1 59.0  9 71.0
66.0 1 66.0  3 71.0
54.0 1 54.0  7 50.0
64.0 1 64.0  5 57.0
74.0 1 74.0  8 57.0
77.0 1 77.0  1 57.0
72.0 1 72.0  0 57.0
51.0 1 51.0  7 71.0
62.0 1 62.0  9 50.0
64.0 1 64.0  9 50.0
75.0 1 75.0  0 51.0
62.0 1 62.0  1 51.0
80.0 1 80.0  2 51.0
66.0 1 66.0  3 51.0
63.0 1 63.0  4 51.0
66.0 1 66.0  5 51.0
55.0 1 55.0  6 51.0
59.0 1 59.0  7 51.0
38.0 1 38.0  8 51.0
66.0 1 66.0  9 51.0
341.0 1 341.0  0 10000.0

66.0 1 66.0  8 51.0
74.0 1 74.0  7 71.0
62.0 1 62.0  7 50.0
63.0 1 63.0  6 51.0
66.0 1 66.0  7 51.0
65.0 1 65.0  9 71.0
76.0 1 76.0  1 51.0
72.0 1 72.0  9 50.0
53.0 1 53.0  4 51.0
74.0 1 74.0  9 50.0
55.0 1 55.0  0 38.0
84.0 1 84.0  1 38.0
64.0 1 64.0  2 38.0
66.0 1 66.0  3 38.0
